Depth,Age (peru SST) linear,"age (2 term polynomial, 580 res age)",UK37,SST (peru),C37total (peru),%N,d15N
246.5,5205.500,5592.041,0.739,20.590,13.53,,
247,5213.200,5600.397,0.747,20.810,13.8,0.00645971,6.995838422
247.5,5220.800,5608.746,,,,,
248,5228.500,5617.087,0.735,20.480,14.01,,
248.5,5236.200,5625.422,0.736,20.500,14.43443617,,
249,5243.81317,5633.749,,,,,
249.5,5251.500,5642.069,0.746,20.781,15.39,0.006518151,6.949584369
250,5259.127106,5650.383,,,,,
251,5274.441041,5666.987,0.736,20.492,15.62269564,0.006435107,7.032990835
252,5289.754977,5683.563,,,,,
252.5,5297.411945,5691.840,0.748,20.856,15.42375203,,
253,5305.068913,5700.110,,,,0.00541714,6.953685343
254,5320.382848,5716.628,0.748,20.841,12.185631,,
255.5,5343.353752,5741.352,,,,0.005295077,6.812147578
256,5351.01072,5749.579,0.746,20.793,16.09014274,,
256.5,5358.667688,5757.799,,,,,
257,5366.324655,5766.011,0.759,21.180,13.22658221,0.006011638,6.976111672
257.5,5373.981623,5774.217,0.762,21.276,13.61020506,,
258,5381.638591,5782.415,,,,,
258.5,5389.295559,5790.606,0.757,21.132,12.62363884,,
259,5396.952527,5798.790,0.757,21.123,14.68608826,0.006517457,7.314835504
259.5,5404.609495,5806.967,,,,,
259.5,5404.609495,5806.967,,,,,
260.5,5419.92343,5823.298,0.760,21.194,16.28817241,,
261,5427.580398,5831.454,,,,0.006241914,7.572918355
262,5442.900,5847.742,0.761,21.230,13.37,,
263.5,5465.900,5872.122,0.765,21.350,14.37,0.006840454,7.847284922
265,5488.836141,5896.436,,,,0.006733988,6.629032782
267,5519.464012,5928.755,0.759,21.170,14.8,0.006164201,5.54611537
269,5550.100,5960.960,0.751,20.945,14.88,0.005092109,7.094705551
270.5,5573.100,5985.038,0.769,21.480,8.717,,
271,5580.719755,5993.049,,,,0.00500876,5.019311944
272,5596.000,6009.051,0.746,20.780,11.77,,
273,5611.300,6025.024,0.762,21.260,14.65,0.004742429,4.549592362
